record,date,DATE2,WEIGHT,QS1,HIDWARD,area,QS2,QS3,HIDAGE1,Q1r1,Q1r2,Q2,Q11_Lr1r1,Q11_Lr1r2,Q11_Lr1r3,Q11_Lr1r4,Q11_Lr1r5,Q11_Lr1r6,Q11_Lr1r7,Q11_Lr1r8,Q11_Lr2r1,Q11_Lr2r2,Q11_Lr2r3,Q11_Lr2r4,Q11_Lr2r5,Q11_Lr2r6,Q11_Lr2r7,Q11_Lr2r8,Q11_Lr3r1,Q11_Lr3r2,Q11_Lr3r3,Q11_Lr3r4,Q11_Lr3r5,Q11_Lr3r6,Q11_Lr3r7,Q11_Lr3r8,Q11_Lr4r1,Q11_Lr4r2,Q11_Lr4r3,Q11_Lr4r4,Q11_Lr4r5,Q11_Lr4r6,Q11_Lr4r7,Q11_Lr4r8,Q11_Lr5r1,Q11_Lr5r2,Q11_Lr5r3,Q11_Lr5r4,Q11_Lr5r5,Q11_Lr5r6,Q11_Lr5r7,Q11_Lr5r8,Q11_Lr6r1,Q11_Lr6r2,Q11_Lr6r3,Q11_Lr6r4,Q11_Lr6r5,Q11_Lr6r6,Q11_Lr6r7,Q11_Lr6r8,Q11_Lr7r1,Q11_Lr7r2,Q11_Lr7r3,Q11_Lr7r4,Q11_Lr7r5,Q11_Lr7r6,Q11_Lr7r7,Q11_Lr7r8,Q11_Lr8r1,Q11_Lr8r2,Q11_Lr8r3,Q11_Lr8r4,Q11_Lr8r5,Q11_Lr8r6,Q11_Lr8r7,Q11_Lr8r8,Q11_Lr9r1,Q11_Lr9r2,Q11_Lr9r3,Q11_Lr9r4,Q11_Lr9r5,Q11_Lr9r6,Q11_Lr9r7,Q11_Lr9r8,Q12r1,Q12r2,Q12r3,Q12r4,Q12r5,Q12r6,Q12_R1,Q12r6oe,Q13r1,Q13r2,Q13r3,Q13r4,Q13r5,Q13r6,Q13r7,Q13r8,Q13r9,Q13r10,Q13r11,Q13_R1,Q13r10oe,QD1,QD1_R1,D1r5oe,QD2,QD3r1,noanswerD3_r99,QD4r1,noanswerD4_r99,QD5,QD6,vdecLang
474,10 13 2018 22 33,13,0.806383,M1p,Ward 41, ,Woman,1956,62,Very concerned,Very concerned,Very informed,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other, , , , , , , , , , , , , , , , , , , , , , , , ,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Not at all motivating,Verymotivating,Somewhat motivating,Verymotivating,Verymotivating, , ,,NO TO  Toronto.ca website,NO TO  City of Toronto events,NO TO  Twitter,NO TO  Facebook,NO TO  Instagram,NO TO  City of Toronto e-newsletters   email,NO TO  Councillor communications,NO TO  Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Single-family detached house, ,,Rent,3,NO TO  How many people  including yourself  live in your household?  Prefer not to say,0,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Some university, 60 001 to  80 000,English (USA)
480,10 13 2018 22 43,13,0.779487,m1c,Ward 47,Scarborough,Woman,1986,32,Extremely concerned,Extremely concerned,Extremely informed, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,NO TO  I don’t know much about this it’s confusing,I don’t think my individual actions for this will make a difference,I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,NO TO  This is not available for me to do,This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Not very motivating,Somewhat motivating,Not at all motivating,Not at all motivating,Not very motivating,Somewhat motivating,Incentives  infrastructure and support to increase the use of sustainable transportation methods like cycling ,encourage public transit use,Toronto.ca website,City of Toronto events,NO TO  Twitter,Facebook,NO TO  Instagram,NO TO  City of Toronto e-newsletters   email,NO TO  Councillor communications,NO TO  Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),NO TO  Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Semi-detached house   duplex, ,,Own,4,NO TO  How many people  including yourself  live in your household?  Prefer not to say,0,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Completed community college  vocational  trade school, 40 001 to  60 000,English (USA)
483,10 13 2018 22 55,13,0.916932,M1S,Ward 42,Scarborough,Man,1949,69,Extremely concerned,Extremely concerned,Extremely informed, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Verymotivating,Verymotivating,Verymotivating,Verymotivating,Verymotivating,Verymotivating,Streamlining recycling compost programs,dispose less; compost more,Toronto.ca website,City of Toronto events,NO TO  Twitter,NO TO  Facebook,NO TO  Instagram,City of Toronto e-newsletters   email,Councillor communications,Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Single-family detached house, ,,Own,2,NO TO  How many people  including yourself  live in your household?  Prefer not to say,0,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Completed undergraduate degree, 80 001 to  100 000,English (USA)
486,10 13 2018 22 59,13,0.743604,m4p,Ward 14,Eglinton-Lawrence,Woman,1971,47,Very concerned,Very concerned,Not very informed, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Somewhat motivating,Somewhat motivating,Somewhat motivating,Somewhat motivating,Somewhat motivating, , ,,NO TO  Toronto.ca website,NO TO  City of Toronto events,NO TO  Twitter,NO TO  Facebook,NO TO  Instagram,NO TO  City of Toronto e-newsletters   email,NO TO  Councillor communications,NO TO  Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),NO TO  Brochures  pamphlets,NO TO  Other (please specify),Not interested in receiving information, ,,Prefer not to say, ,,Prefer not to say, ,How many people  including yourself  live in your household?  Prefer not to say, ,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Completed undergraduate degree,Prefer not to answer,English (USA)
491,10 13 2018 23 07,13,0.677169,M1P,Ward 41, ,Man,1986,32,Not very concerned,Not very concerned,Very informed, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Somewhat motivating,Somewhat motivating,Somewhat motivating,Not very motivating,Somewhat motivating,Not at all motivating,None,Nothng,NO TO  Toronto.ca website,NO TO  City of Toronto events,NO TO  Twitter,NO TO  Facebook,NO TO  Instagram,NO TO  City of Toronto e-newsletters   email,NO TO  Councillor communications,NO TO  Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),NO TO  Brochures  pamphlets,NO TO  Other (please specify),Not interested in receiving information, ,,Other (please specify),Other (please specify),Rented room,Rent,1,NO TO  How many people  including yourself  live in your household?  Prefer not to say, ,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Post graduate professional school,Prefer not to answer,English (USA)
494,10 13 2018 23 10,13,0.656777,M6N,Ward 16,Davenport,Man,1969,49,Extremely concerned,Extremely concerned,Extremely informed, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Verymotivating,Verymotivating,Somewhat motivating,Somewhat motivating,Somewhat motivating, , ,,Toronto.ca website,NO TO  City of Toronto events,NO TO  Twitter,Facebook,NO TO  Instagram,NO TO  City of Toronto e-newsletters   email,Councillor communications,NO TO  Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),NO TO  Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Semi-detached house   duplex, ,,Own,2,NO TO  How many people  including yourself  live in your household?  Prefer not to say, ,How many children under 18 are currently living in your household?  Prefer not to say.,Completed undergraduate degree,More than  150 000,English (USA)
498,10 13 2018 23 25,13,0.61439,M2H,Ward 31,Don Valley North,Man,1987,31,Very concerned,Very concerned,Very informed, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Somewhat motivating,Verymotivating,Somewhat motivating,Not very motivating,Somewhat motivating, , ,,NO TO  Toronto.ca website,NO TO  City of Toronto events,NO TO  Twitter,Facebook,NO TO  Instagram,City of Toronto e-newsletters   email,Councillor communications,Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),NO TO  Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Semi-detached house   duplex, ,,Rent,3,NO TO  How many people  including yourself  live in your household?  Prefer not to say,1,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Completed community college  vocational  trade school, 40 001 to  60 000,English (USA)
502,10 13 2018 23 47,13,0.743604,M3M,Ward 9,York Centre,Woman,1955,63,Not very concerned,Not very concerned,Not very informed, , , , , , , , , , , , , , , , , , , , , , , , ,I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Verymotivating,Somewhat motivating,Somewhat motivating,Verymotivating,Verymotivating,Somewhat motivating,DK NA,.,NO TO  Toronto.ca website,NO TO  City of Toronto events,NO TO  Twitter,NO TO  Facebook,NO TO  Instagram,City of Toronto e-newsletters   email,NO TO  Councillor communications,NO TO  Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Townhouse row house, ,,Own, ,How many people  including yourself  live in your household?  Prefer not to say, ,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Completed community college  vocational  trade school,Prefer not to answer,English (USA)
509,10 14 2018 00 20,14,0.795624,M5s,Ward 25,Toronto Centre,Man,1976,42,Extremely concerned,Extremely concerned,Extremely informed, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Verymotivating,Verymotivating,Somewhat motivating,Verymotivating,Somewhat motivating, , ,,Toronto.ca website,City of Toronto events,Twitter,Facebook,Instagram,City of Toronto e-newsletters   email,Councillor communications,Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Multi-unit residence (apartment  condominium building), ,,Rent,2,NO TO  How many people  including yourself  live in your household?  Prefer not to say,0,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Post graduate professional school, 100 001 to  150 000,English (USA)
511,10 14 2018 00 35,14,0.629881,M9V,Ward 1,Etobicoke,Man,1978,40,Very concerned,Very concerned,Very informed, , , , , , , , , , , , , , , , ,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Verymotivating,Somewhat motivating,Somewhat motivating,Verymotivating,Verymotivating,Verymotivating,Incentives for home energy efficiency improvements,Renewable energy initiatives,NO TO  Toronto.ca website,NO TO  City of Toronto events,NO TO  Twitter,NO TO  Facebook,NO TO  Instagram,NO TO  City of Toronto e-newsletters   email,NO TO  Councillor communications,Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),NO TO  Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Single-family detached house, ,,Own,1,NO TO  How many people  including yourself  live in your household?  Prefer not to say, ,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Post graduate professional school, 80 001 to  100 000,English (USA)
512,10 14 2018 00 45,14,0.656777,m9v,Ward 1,Etobicoke,Man,1966,52,Extremely concerned,Extremely concerned,Not very informed, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Somewhat motivating,Somewhat motivating,Somewhat motivating,Somewhat motivating,Not very motivating, , ,,NO TO  Toronto.ca website,NO TO  City of Toronto events,NO TO  Twitter,NO TO  Facebook,NO TO  Instagram,City of Toronto e-newsletters   email,NO TO  Councillor communications,NO TO  Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),NO TO  Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Single-family detached house, ,,Own,3,NO TO  How many people  including yourself  live in your household?  Prefer not to say,1,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Completed undergraduate degree, 60 001 to  80 000,English (USA)
513,10 14 2018 00 53,14,1.137706,M4B,Ward 35, ,Woman,1945,73,Very concerned,Extremely concerned,Not very informed, , , , , , , , , , , , , , , , , , , , , , , , ,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other, , , , , , , , , , , , , , , , , , , , , , , , ,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,Other, , , , , , , , ,Somewhat motivating,Somewhat motivating,Somewhat motivating,Somewhat motivating,Verymotivating, , ,,NO TO  Toronto.ca website,City of Toronto events,NO TO  Twitter,NO TO  Facebook,NO TO  Instagram,City of Toronto e-newsletters   email,NO TO  Councillor communications,Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Multi-unit residence (apartment  condominium building), ,,Own,1,NO TO  How many people  including yourself  live in your household?  Prefer not to say, ,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Completed community college  vocational  trade school, 40 001 to  60 000,English (USA)
514,10 14 2018 00 50,14,0.82252,M4l,Ward 37,Beaches-East York,Man,1961,57,Very concerned,Very concerned,Very informed, , , , , , , , , , , , , , , , ,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,NO TO  This is not available for me to do,This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Verymotivating,Verymotivating,Somewhat motivating,Somewhat motivating,Somewhat motivating, , ,,Toronto.ca website,NO TO  City of Toronto events,NO TO  Twitter,NO TO  Facebook,NO TO  Instagram,City of Toronto e-newsletters   email,NO TO  Councillor communications,Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Single-family detached house, ,,Own,6,NO TO  How many people  including yourself  live in your household?  Prefer not to say,0,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Post graduate professional school,More than  150 000,English (USA)
516,10 14 2018 00 51,14,0.795624,m4j,Ward 34,Toronto-Danforth,Man,1984,34,Extremely concerned,Extremely concerned,Extremely informed, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Verymotivating,Somewhat motivating,Not very motivating,Not very motivating,Not very motivating, , ,,Toronto.ca website,NO TO  City of Toronto events,NO TO  Twitter,Facebook,NO TO  Instagram,City of Toronto e-newsletters   email,NO TO  Councillor communications,Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),NO TO  Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Single-family detached house, ,,Rent,5,NO TO  How many people  including yourself  live in your household?  Prefer not to say,0,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Completed community college  vocational  trade school,Under  40 000,English (USA)
517,10 14 2018 01 03,14,0.795624,m5v,Ward 20,Spadina-Fort York,Man,1980,38,Very concerned,Very concerned,Very informed, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Verymotivating,Verymotivating,Verymotivating,Verymotivating,Somewhat motivating, , ,,Toronto.ca website,City of Toronto events,Twitter,Facebook,NO TO  Instagram,City of Toronto e-newsletters   email,Councillor communications,Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Multi-unit residence (apartment  condominium building), ,,Rent,3,NO TO  How many people  including yourself  live in your household?  Prefer not to say,1,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Post graduate professional school, 40 001 to  60 000,English (USA)
523,10 14 2018 01 52,14,0.795624,M5B,Ward 22,Toronto Centre,Man,1974,44,Very concerned,Very concerned,Very informed, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Somewhat motivating,Not very motivating,Somewhat motivating,Not very motivating,Somewhat motivating,Not very motivating,None,none,Toronto.ca website,NO TO  City of Toronto events,Twitter,NO TO  Facebook,NO TO  Instagram,NO TO  City of Toronto e-newsletters   email,NO TO  Councillor communications,NO TO  Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Multi-unit residence (apartment  condominium building), ,,Rent,1,NO TO  How many people  including yourself  live in your household?  Prefer not to say, ,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Post graduate professional school, 80 001 to  100 000,English (USA)
533,10 14 2018 04 13,14,0.677169,M1T,Ward 42,Scarborough,Man,1983,35,Extremely concerned,Extremely concerned,Very informed, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Verymotivating,Verymotivating,Verymotivating,Verymotivating,Verymotivating, , ,,NO TO  Toronto.ca website,NO TO  City of Toronto events,NO TO  Twitter,NO TO  Facebook,NO TO  Instagram,NO TO  City of Toronto e-newsletters   email,NO TO  Councillor communications,NO TO  Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),NO TO  Brochures  pamphlets,NO TO  Other (please specify),Not interested in receiving information, ,,Multi-unit residence (apartment  condominium building), ,,Own,1,NO TO  How many people  including yourself  live in your household?  Prefer not to say, ,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Post graduate professional school, 100 001 to  150 000,English (USA)
540,10 14 2018 06 58,14,0.82252,M6G,Ward 19,University-Rosedale,Man,1960,58,Very concerned,Very concerned,Very informed, , , , , , , , , , , , , , , , ,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,NO TO  This is not available for me to do,This is not convenient for me to do,I’m not interested in making this change,NO TO  Other,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,This is not available for me to do,This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other,NO TO  I don’t know much about this it’s confusing,I don’t think my individual actions for this will make a difference,I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,I’m not interested in making this change,NO TO  Other, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Somewhat motivating,Not very motivating,Not very motivating,Not very motivating,Somewhat motivating, , ,,Toronto.ca website,City of Toronto events,NO TO  Twitter,NO TO  Facebook,NO TO  Instagram,City of Toronto e-newsletters   email,NO TO  Councillor communications,NO TO  Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Single-family detached house, ,,Own,4,NO TO  How many people  including yourself  live in your household?  Prefer not to say,0,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Some university,More than  150 000,English (USA)
541,10 14 2018 06 52,14,0.82252,M5s,Ward 25, ,Man,1966,52,Not very concerned,Very concerned,Not very informed, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,I’m not interested in making this change,NO TO  Other, , , , , , , , ,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other, , , , , , , , , , , , , , , , ,Somewhat motivating,Somewhat motivating,Not very motivating,Somewhat motivating,Somewhat motivating, , ,,NO TO  Toronto.ca website,NO TO  City of Toronto events,NO TO  Twitter,NO TO  Facebook,NO TO  Instagram,City of Toronto e-newsletters   email,NO TO  Councillor communications,NO TO  Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),NO TO  Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Multi-unit residence (apartment  condominium building), ,,Own,2,NO TO  How many people  including yourself  live in your household?  Prefer not to say,0,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Completed undergraduate degree, 80 001 to  100 000,English (USA)
545,10 14 2018 07 32,14,1.137706,M4S,Ward 26,Toronto-St. Paul's,Woman,1945,73,Very concerned,Very concerned,Not very informed, , , , , , , , , , , , , , , , , , , , , , , , ,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Somewhat motivating,Verymotivating,Somewhat motivating,Somewhat motivating,Somewhat motivating, , ,,NO TO  Toronto.ca website,NO TO  City of Toronto events,NO TO  Twitter,NO TO  Facebook,NO TO  Instagram,NO TO  City of Toronto e-newsletters   email,NO TO  Councillor communications,Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Multi-unit residence (apartment  condominium building), ,,Own,1,NO TO  How many people  including yourself  live in your household?  Prefer not to say, ,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Completed undergraduate degree,More than  150 000,English (USA)
547,10 14 2018 07 49,14,0.956471,M4N,Ward 27,Don Valley West,Woman,1943,75,Very concerned,Extremely concerned,Very informed, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Not at all motivating,Somewhat motivating,Not very motivating,Not at all motivating,Somewhat motivating, , ,,Toronto.ca website,City of Toronto events,NO TO  Twitter,NO TO  Facebook,NO TO  Instagram,City of Toronto e-newsletters   email,Councillor communications,Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),Brochures  pamphlets,Other (please specify),NO TO  Not interested in receiving information,Other,Toronto Hydro; Toronto Waste,Single-family detached house, ,,Own,1,NO TO  How many people  including yourself  live in your household?  Prefer not to say, ,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Post graduate professional school,More than  150 000,English (USA)
556,10 14 2018 08 47,14,0.704065,M1V,Ward 44,Scarborough,Man,1964,54,Very concerned,Very concerned,Not very informed,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other, , , , , , , , , , , , , , , , ,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other,I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,NO TO  This is not available for me to do,This is not convenient for me to do,I’m not interested in making this change,NO TO  Other, , , , , , , , , , , , , , , , , , , , , , , , ,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,NO TO  This is not available for me to do,This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other,Not very motivating,Not very motivating,Not very motivating,Somewhat motivating,Not very motivating, , ,,Toronto.ca website,City of Toronto events,NO TO  Twitter,NO TO  Facebook,NO TO  Instagram,NO TO  City of Toronto e-newsletters   email,Councillor communications,Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Single-family detached house, ,,Own,4,NO TO  How many people  including yourself  live in your household?  Prefer not to say,0,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Completed undergraduate degree,Under  40 000,English (USA)
559,10 14 2018 08 52,14,0.897943,m5v,Ward 20,Spadina-Fort York,Woman,1974,44,Very concerned,Very concerned,Very informed, , , , , , , , , , , , , , , , , , , , , , , , ,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Verymotivating,Verymotivating,Not at all motivating,Somewhat motivating,Somewhat motivating, , ,,Toronto.ca website,NO TO  City of Toronto events,NO TO  Twitter,NO TO  Facebook,NO TO  Instagram,NO TO  City of Toronto e-newsletters   email,NO TO  Councillor communications,NO TO  Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),NO TO  Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Multi-unit residence (apartment  condominium building), ,,Rent,1,NO TO  How many people  including yourself  live in your household?  Prefer not to say, ,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Post graduate professional school, 100 001 to  150 000,English (USA)
